General parameters:
Start time: 2023              8              1             22             10      48.734048
Finish time: 2023              8              1             22             27      38.878169
Raster type: raster_jump
Horizontal range (nm): -3207501.000000,-3268501.000000
Vertical range (nm): 16500.000000,-26500.000000
Horizontal pixel size (nm): 2000.000000
Vertical pixel size (nm): 2000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.32e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -3062496.000000,-192000.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_07_MoS2_5um/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3207501 -3268501
hori_res:2000
vert_range:16500 -26500
vert_res:2000
pause:0.35
data_path:/icon/data/2023_07_MoS2_5um/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.449054
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x,y,I,P_beam,T_lab
-500.000000,-3228501.000000,0.000000,68.830000,21.250000
-500.000000,-3226501.000000,0.000000,68.830000,21.250000
-500.000000,-3224501.000000,0.000000,68.830000,21.250000
-500.000000,-3222501.000000,0.000000,68.830000,21.250000
-500.000000,-3220501.000000,0.000000,68.830000,21.250000
-500.000000,-3218501.000000,0.000000,68.830000,21.250000
-500.000000,-3216501.000000,0.000000,68.830000,21.250000
-500.000000,-3214501.000000,0.000000,68.830000,21.250000
-500.000000,-3212501.000000,0.000000,NaN,21.250000
-500.000000,-3210501.000000,0.000000,68.830000,21.250000
-500.000000,-3208501.000000,0.000000,68.830000,21.250000
1500.000000,-3268501.000000,0.000000,68.830000,21.250000
1500.000000,-3266501.000000,0.000000,68.830000,21.250000
1500.000000,-3264501.000000,0.000000,68.830000,21.250000
1500.000000,-3262501.000000,0.000000,68.830000,21.250000
1500.000000,-3260501.000000,0.000000,68.830000,21.250000
1500.000000,-3258501.000000,0.000000,68.830000,21.250000
1500.000000,-3256501.000000,0.000000,68.830000,21.250000
1500.000000,-3254501.000000,0.000000,68.830000,21.250000
1500.000000,-3252501.000000,0.000000,68.830000,21.250000
1500.000000,-3250501.000000,0.000000,68.830000,21.250000
1500.000000,-3248501.000000,0.000000,68.830000,21.250000
1500.000000,-3246501.000000,0.000000,68.830000,21.250000
1500.000000,-3244501.000000,0.000000,68.830000,21.250000
1500.000000,-3242501.000000,0.000000,NaN,21.250000
1500.000000,-3240501.000000,0.000000,68.830000,21.250000
1500.000000,-3238501.000000,0.000000,68.830000,21.250000
1500.000000,-3236501.000000,0.000000,68.830000,21.250000
1500.000000,-3234501.000000,0.000000,68.830000,21.250000
1500.000000,-3232501.000000,0.000000,68.830000,21.250000
1500.000000,-3230501.000000,0.000000,68.830000,21.250000
1500.000000,-3228501.000000,0.000000,68.830000,21.250000
1500.000000,-3226501.000000,0.000000,68.830000,21.250000
1500.000000,-3224501.000000,0.000000,68.830000,21.250000
1500.000000,-3222501.000000,0.000000,68.830000,21.250000
1500.000000,-3220501.000000,0.000000,68.830000,21.250000
1500.000000,-3218501.000000,0.000000,68.830000,21.250000
1500.000000,-3216501.000000,0.000000,68.830000,21.250000
1500.000000,-3214501.000000,0.000000,68.830000,21.250000
1500.000000,-3212501.000000,0.000000,68.830000,21.250000
1500.000000,-3210501.000000,0.000000,68.830000,21.250000
1500.000000,-3208501.000000,0.000000,68.830000,21.250000
3500.000000,-3268501.000000,0.000000,68.830000,21.250000
3500.000000,-3266501.000000,0.000000,68.830000,21.250000
3500.000000,-3264501.000000,0.000000,68.830000,21.250000
3500.000000,-3262501.000000,0.000000,68.830000,21.250000
3500.000000,-3260501.000000,0.000000,68.830000,21.250000
3500.000000,-3258501.000000,0.000000,68.830000,21.250000
3500.000000,-3256501.000000,0.000000,68.830000,21.250000
3500.000000,-3254501.000000,0.000000,68.830000,21.250000
3500.000000,-3252501.000000,0.000000,68.830000,21.250000
3500.000000,-3250501.000000,0.000000,68.830000,21.250000
3500.000000,-3248501.000000,0.000000,68.830000,21.250000
3500.000000,-3246501.000000,0.000000,68.830000,21.250000
3500.000000,-3244501.000000,0.000000,68.830000,21.250000
3500.000000,-3242501.000000,0.000000,68.830000,21.250000
3500.000000,-3240501.000000,0.000000,68.830000,21.250000
3500.000000,-3238501.000000,0.000000,68.830000,21.250000
3500.000000,-3236501.000000,0.000000,68.830000,21.250000
3500.000000,-3234501.000000,0.000000,68.830000,21.250000
3500.000000,-3232501.000000,0.000000,68.830000,21.250000
3500.000000,-3230501.000000,0.000000,68.830000,21.250000
3500.000000,-3228501.000000,0.000000,68.830000,21.250000
3500.000000,-3226501.000000,0.000000,68.830000,21.250000
3500.000000,-3224501.000000,0.000000,68.830000,21.250000
3500.000000,-3222501.000000,0.000000,68.830000,21.250000
3500.000000,-3220501.000000,0.000000,68.830000,21.250000
3500.000000,-3218501.000000,0.000000,68.830000,21.250000
3500.000000,-3216501.000000,0.000000,68.830000,21.250000
3500.000000,-3214501.000000,0.000000,68.830000,21.250000
3500.000000,-3212501.000000,0.000000,68.830000,21.250000
3500.000000,-3210501.000000,0.000000,68.830000,21.250000
3500.000000,-3208501.000000,0.000000,68.830000,21.250000
5500.000000,-3268501.000000,0.000000,68.830000,21.250000
5500.000000,-3266501.000000,0.000000,68.830000,21.250000
5500.000000,-3264501.000000,0.000000,68.830000,21.250000
5500.000000,-3262501.000000,0.000000,68.830000,21.250000
5500.000000,-3260501.000000,0.000000,68.830000,21.250000
5500.000000,-3258501.000000,0.000000,68.830000,21.250000
5500.000000,-3256501.000000,0.000000,68.830000,21.250000
5500.000000,-3254501.000000,0.000000,68.830000,21.250000
5500.000000,-3252501.000000,0.000000,68.830000,21.250000
5500.000000,-3250501.000000,0.000000,68.830000,21.250000
5500.000000,-3248501.000000,0.000000,68.830000,21.250000
5500.000000,-3246501.000000,0.000000,68.830000,21.250000
5500.000000,-3244501.000000,0.000000,68.830000,21.250000
5500.000000,-3242501.000000,0.000000,68.830000,21.250000
5500.000000,-3240501.000000,0.000000,68.830000,21.250000
5500.000000,-3238501.000000,0.000000,68.830000,21.250000
5500.000000,-3236501.000000,0.000000,68.830000,21.250000
5500.000000,-3234501.000000,0.000000,68.830000,21.250000
5500.000000,-3232501.000000,0.000000,68.830000,21.250000
5500.000000,-3230501.000000,0.000000,68.830000,21.250000
5500.000000,-3228501.000000,0.000000,68.830000,21.250000
5500.000000,-3226501.000000,0.000000,68.830000,21.250000
5500.000000,-3224501.000000,0.000000,68.830000,21.250000
5500.000000,-3222501.000000,0.000000,68.830000,21.250000
5500.000000,-3220501.000000,0.000000,68.830000,21.250000
5500.000000,-3218501.000000,0.000000,68.830000,21.250000
5500.000000,-3216501.000000,0.000000,68.830000,21.250000
5500.000000,-3214501.000000,0.000000,68.830000,21.250000
5500.000000,-3212501.000000,0.000000,68.830000,21.250000
5500.000000,-3210501.000000,0.000000,68.830000,21.250000
5500.000000,-3208501.000000,0.000000,68.830000,21.250000
7500.000000,-3268501.000000,0.000000,NaN,21.250000
7500.000000,-3266501.000000,0.000000,68.830000,21.250000
7500.000000,-3264501.000000,0.000000,68.830000,21.250000
7500.000000,-3262501.000000,0.000000,68.830000,21.250000
7500.000000,-3260501.000000,0.000000,68.830000,21.250000
7500.000000,-3258501.000000,0.000000,68.830000,21.250000
7500.000000,-3256501.000000,0.000000,68.830000,21.250000
7500.000000,-3254501.000000,0.000000,68.830000,21.250000
7500.000000,-3252501.000000,0.000000,68.830000,21.250000
7500.000000,-3250501.000000,0.000000,68.830000,21.250000
7500.000000,-3248501.000000,0.000000,68.830000,21.250000
7500.000000,-3246501.000000,0.000000,68.830000,21.250000
7500.000000,-3244501.000000,0.000000,68.830000,21.250000
7500.000000,-3242501.000000,0.000000,68.830000,21.250000
7500.000000,-3240501.000000,0.000000,68.830000,21.250000
7500.000000,-3238501.000000,0.000000,68.830000,21.250000
7500.000000,-3236501.000000,0.000000,68.830000,21.250000
7500.000000,-3234501.000000,0.000000,68.830000,21.250000
7500.000000,-3232501.000000,0.000000,68.830000,21.250000
7500.000000,-3230501.000000,0.000000,68.830000,21.250000
7500.000000,-3228501.000000,0.000000,68.830000,21.250000
7500.000000,-3226501.000000,0.000000,68.830000,21.250000
7500.000000,-3224501.000000,0.000000,68.840000,21.250000
7500.000000,-3222501.000000,0.000000,68.830000,21.250000
7500.000000,-3220501.000000,0.000000,68.840000,21.250000
7500.000000,-3218501.000000,0.000000,68.840000,21.250000
7500.000000,-3216501.000000,0.000000,68.830000,21.250000
7500.000000,-3214501.000000,0.000000,68.830000,21.250000
7500.000000,-3212501.000000,0.000000,68.830000,21.250000
7500.000000,-3210501.000000,0.000000,68.840000,21.250000
7500.000000,-3208501.000000,0.000000,68.830000,21.250000
9500.000000,-3268501.000000,0.000000,68.830000,21.250000
9500.000000,-3266501.000000,0.000000,68.840000,21.250000
9500.000000,-3264501.000000,0.000000,68.840000,21.250000
9500.000000,-3262501.000000,0.000000,68.840000,21.250000
9500.000000,-3260501.000000,0.000000,68.840000,21.250000
9500.000000,-3258501.000000,0.000000,68.840000,21.250000
9500.000000,-3256501.000000,0.000000,68.840000,21.250000
9500.000000,-3254501.000000,0.000000,68.840000,21.250000
9500.000000,-3252501.000000,0.000000,NaN,21.250000
9500.000000,-3250501.000000,0.000000,68.840000,21.250000
9500.000000,-3248501.000000,0.000000,68.840000,21.250000
9500.000000,-3246501.000000,0.000000,68.840000,21.250000
9500.000000,-3244501.000000,0.000000,68.840000,21.250000
9500.000000,-3242501.000000,0.000000,68.840000,21.250000
9500.000000,-3240501.000000,0.000000,68.840000,21.250000
9500.000000,-3238501.000000,0.000000,68.840000,21.250000
9500.000000,-3236501.000000,0.000000,68.840000,21.250000
9500.000000,-3234501.000000,0.000000,68.840000,21.250000
9500.000000,-3232501.000000,0.000000,68.840000,21.250000
9500.000000,-3230501.000000,0.000000,68.840000,21.250000
9500.000000,-3228501.000000,0.000000,68.840000,21.250000
9500.000000,-3226501.000000,0.000000,68.840000,21.250000
9500.000000,-3224501.000000,0.000000,68.840000,21.250000
9500.000000,-3222501.000000,0.000000,68.840000,21.250000
9500.000000,-3220501.000000,0.000000,68.840000,21.250000
9500.000000,-3218501.000000,0.000000,68.840000,21.250000
9500.000000,-3216501.000000,0.000000,68.840000,21.250000
9500.000000,-3214501.000000,0.000000,68.840000,21.250000
9500.000000,-3212501.000000,0.000000,68.840000,21.250000
9500.000000,-3210501.000000,0.000000,68.840000,21.250000
9500.000000,-3208501.000000,0.000000,68.840000,21.250000
11500.000000,-3268501.000000,0.000000,68.840000,21.250000
11500.000000,-3266501.000000,0.000000,68.840000,21.250000
11500.000000,-3264501.000000,0.000000,68.840000,21.250000
11500.000000,-3262501.000000,0.000000,68.840000,21.250000
11500.000000,-3260501.000000,0.000000,68.840000,21.250000
11500.000000,-3258501.000000,0.000000,68.840000,21.250000
11500.000000,-3256501.000000,0.000000,68.840000,21.250000
11500.000000,-3254501.000000,0.000000,68.840000,21.250000
11500.000000,-3252501.000000,0.000000,68.840000,21.250000
11500.000000,-3250501.000000,0.000000,68.840000,21.250000
11500.000000,-3248501.000000,0.000000,68.840000,21.250000
11500.000000,-3246501.000000,0.000000,68.840000,21.250000
11500.000000,-3244501.000000,0.000000,68.840000,21.250000
11500.000000,-3242501.000000,0.000000,68.840000,21.250000
11500.000000,-3240501.000000,0.000000,68.840000,21.250000
11500.000000,-3238501.000000,0.000000,68.840000,21.250000
11500.000000,-3236501.000000,0.000000,68.840000,21.250000
11500.000000,-3234501.000000,0.000000,68.840000,21.250000
11500.000000,-3232501.000000,0.000000,68.840000,21.250000
11500.000000,-3230501.000000,0.000000,68.840000,21.250000
11500.000000,-3228501.000000,0.000000,68.840000,21.250000
11500.000000,-3226501.000000,0.000000,68.840000,21.250000
11500.000000,-3224501.000000,0.000000,68.840000,21.250000
11500.000000,-3222501.000000,0.000000,68.840000,21.250000
11500.000000,-3220501.000000,0.000000,68.840000,21.250000
11500.000000,-3218501.000000,0.000000,68.840000,21.250000
11500.000000,-3216501.000000,0.000000,68.840000,21.250000
11500.000000,-3214501.000000,0.000000,68.840000,21.250000
11500.000000,-3212501.000000,0.000000,68.840000,21.250000
11500.000000,-3210501.000000,0.000000,68.840000,21.250000
11500.000000,-3208501.000000,0.000000,68.840000,21.250000
13500.000000,-3268501.000000,0.000000,68.840000,21.250000
13500.000000,-3266501.000000,0.000000,68.840000,21.250000
13500.000000,-3264501.000000,0.000000,68.840000,21.250000
13500.000000,-3262501.000000,0.000000,68.850000,21.250000
13500.000000,-3260501.000000,0.000000,68.840000,21.250000
13500.000000,-3258501.000000,0.000000,68.840000,21.250000
13500.000000,-3256501.000000,0.000000,68.850000,21.250000
13500.000000,-3254501.000000,0.000000,68.850000,21.250000
13500.000000,-3252501.000000,0.000000,68.850000,21.250000
13500.000000,-3250501.000000,0.000000,68.850000,21.250000
13500.000000,-3248501.000000,0.000000,68.850000,21.250000
13500.000000,-3246501.000000,0.000000,68.850000,21.250000
13500.000000,-3244501.000000,0.000000,68.850000,21.250000
13500.000000,-3242501.000000,0.000000,68.850000,21.250000
13500.000000,-3240501.000000,0.000000,68.850000,21.250000
13500.000000,-3238501.000000,0.000000,68.850000,21.250000
13500.000000,-3236501.000000,0.000000,68.850000,21.250000
13500.000000,-3234501.000000,0.000000,68.850000,21.250000
13500.000000,-3232501.000000,0.000000,68.850000,21.250000
13500.000000,-3230501.000000,0.000000,68.850000,21.250000
13500.000000,-3228501.000000,0.000000,68.850000,21.250000
13500.000000,-3226501.000000,0.000000,68.850000,21.250000
13500.000000,-3224501.000000,0.000000,68.850000,21.250000
13500.000000,-3222501.000000,0.000000,68.850000,21.250000
13500.000000,-3220501.000000,0.000000,68.850000,21.250000
13500.000000,-3218501.000000,0.000000,68.850000,21.250000
13500.000000,-3216501.000000,0.000000,68.850000,21.250000
13500.000000,-3214501.000000,0.000000,68.850000,21.250000
13500.000000,-3212501.000000,0.000000,68.850000,21.250000
13500.000000,-3210501.000000,0.000000,68.850000,21.250000
13500.000000,-3208501.000000,0.000000,68.850000,21.250000
15500.000000,-3268501.000000,0.000000,68.850000,21.250000
15500.000000,-3266501.000000,0.000000,68.850000,21.250000
15500.000000,-3264501.000000,0.000000,68.850000,21.250000
15500.000000,-3262501.000000,0.000000,68.850000,21.250000
15500.000000,-3260501.000000,0.000000,68.850000,21.250000
15500.000000,-3258501.000000,0.000000,68.850000,21.250000
15500.000000,-3256501.000000,0.000000,68.850000,21.250000
15500.000000,-3254501.000000,0.000000,68.850000,21.250000
15500.000000,-3252501.000000,0.000000,68.850000,21.250000
15500.000000,-3250501.000000,0.000000,68.850000,21.250000
15500.000000,-3248501.000000,0.000000,68.850000,21.250000
15500.000000,-3246501.000000,0.000000,68.850000,21.250000
15500.000000,-3244501.000000,0.000000,68.850000,21.250000
15500.000000,-3242501.000000,0.000000,68.850000,21.250000
15500.000000,-3240501.000000,0.000000,68.850000,21.250000
15500.000000,-3238501.000000,0.000000,68.850000,21.250000
15500.000000,-3236501.000000,0.000000,68.850000,21.250000
15500.000000,-3234501.000000,0.000000,68.850000,21.250000
15500.000000,-3232501.000000,0.000000,68.850000,21.250000
15500.000000,-3230501.000000,0.000000,68.850000,21.250000
15500.000000,-3228501.000000,0.000000,68.850000,21.250000
15500.000000,-3226501.000000,0.000000,68.850000,21.250000
15500.000000,-3224501.000000,0.000000,68.850000,21.250000
15500.000000,-3222501.000000,0.000000,68.850000,21.250000
15500.000000,-3220501.000000,0.000000,68.850000,21.250000
15500.000000,-3218501.000000,0.000000,68.850000,21.250000
15500.000000,-3216501.000000,0.000000,68.850000,21.250000
15500.000000,-3214501.000000,0.000000,68.850000,21.250000
15500.000000,-3212501.000000,0.000000,68.850000,21.250000
15500.000000,-3210501.000000,0.000000,68.850000,21.250000
15500.000000,-3208501.000000,0.000000,68.860000,21.250000
